index,Location,,J42,WF22,PAM27,PAM79,WF16,WF33,WF3,WF517,WF196,WF223,WF421,A441,PAM21,Psy087,Psy022,WF12,WF32
1,pop,,,,,,,,,,,,,,,,,,
2,Nap,2,131133,179215,160210,164170,236238,340352,168168,261267,243251,255267,276288,182184,0,155161,227235,260260,0
3,Nap,7,119131,239259,166166,0,0,0,166168,279291,183215,273281,288312,0,0,161161,0,0,215291
4,Nap,2,117119,191255,174178,176182,226238,272328,168168,0,0,277281,236268,186196,211221,155161,235243,256260,181217
5,Nap,2,117121,183247,160176,178216,238258,276296,0,261287,171191,263263,236292,182186,215219,155161,243243,260260,0
6,Nap,2,117117,175211,160174,176186,236262,252268,168176,247263,171207,275279,288300,182226,0,155161,243243,256264,0
7,Nap,2,109111,191259,176184,170190,238254,316320,170174,257291,159195,273289,288320,0,215215,155161,235267,260260,0
8,Nap,1,121127,231231,174182,168206,236238,276348,170170,283295,183195,245247,252300,184196,0,161163,235243,256256,221289
9,Nap,4,117125,195247,178212,188210,244258,312316,168178,279307,159215,233275,0,0,0,161163,0,260264,215283
10,Nap,2,117121,211219,160160,182210,236236,288348,162170,263283,183255,265281,268292,0,0,161161,243243,260264,217283
11,Nap,2,117131,187243,178178,178184,236236,272320,166174,277287,167187,275285,276296,0,0,156161,243335,260260,217253
12,Nap,4,117125,223235,176180,184206,238240,296340,156168,219279,187191,0,272288,0,0,163163,243243,260260,0
13,Nap,3,115117,195243,174174,168182,240258,252348,168178,279307,159215,233275,276288,0,0,161163,231243,256256,0
14,Nap,4,119125,235239,160180,178188,238260,0,0,219247,187187,267275,280292,0,0,155161,243243,256256,221221
15,Nap,1,117131,215235,176188,166198,236240,324324,168176,255303,183215,253257,284336,180188,223225,155161,243243,0,215215
16,Nap,0,111123,179227,176178,186188,236238,316352,168174,263275,183195,261267,284296,180182,219219,161161,235243,260264,209217
17,Nap,1,117121,207259,166174,142220,234238,272316,156168,243279,167167,261281,0,180184,219219,161163,235243,260260,217221
18,Nap,3,117127,179239,0,158214,238260,320320,168170,287291,195251,261271,280296,0,211217,161161,235243,256260,0
19,Nap,6,119139,255275,0,178198,236236,272316,168174,0,0,257271,276292,180180,0,161161,235243,0,0
20,Nap,2,109117,227235,166182,158194,230234,312328,168172,243275,167187,277289,280308,0,215215,156161,235235,0,217221
21,Nap,1,117131,187267,180180,180182,236238,272320,162170,251267,155187,237269,292304,0,215217,156161,235243,256264,215215
22,Nap,1,121133,227247,174174,176186,260286,280280,168176,247287,195195,271279,268284,190198,0,156161,235243,260264,215283
23,Nap,2,115119,183251,174180,156208,238250,324344,0,243283,167195,257269,292316,184188,215219,156161,0,256260,219259
24,Nap,5,127143,179223,160160,0,238260,0,168172,247261,179191,0,280292,180188,0,155161,235243,260264,0
25,Nap,2,117119,207291,160180,156204,238240,304316,0,247283,187191,255271,232276,184186,217217,155161,235243,256264,0
26,Nap,5,117117,223259,0,182188,240260,0,158162,259275,203219,241263,284356,0,217221,161161,235243,0,0
27,Nap,3,117137,163279,178184,182192,236236,316324,168168,0,0,257261,280288,184188,0,161163,243315,256260,217283
28,Nap,1,117125,163179,160160,148194,236236,296302,162174,283291,191219,259285,292300,0,215215,161161,235243,260264,221291
29,Nap,2,133135,191263,174180,154168,250260,248308,166176,261291,167215,275275,292300,0,215215,156161,235243,260260,0
30,Nap,2,119139,159231,174178,184224,238240,280360,168168,287291,163187,257269,268316,0,211211,156161,235243,260264,0
31,Nap,2,109127,211231,172176,178206,228238,268332,168192,271283,167195,261261,292300,0,0,156161,235243,260264,257257
32,Nap,1,133137,227235,174212,178190,236250,280324,168174,255267,167195,281285,292296,0,215219,161161,235243,260260,215251
33,pop,0,,,,,,,,,,,,,,,,,
34,Mor,1,119121,199211,174174,182188,236238,296352,156168,271283,159191,251277,280292,180188,0,156161,235243,260260,215217
35,Mor,3,117125,183283,160174,148200,236250,308312,168168,275275,187187,0,0,184190,0,161161,235235,256256,215215
36,Mor,7,109143,0,160174,0,238256,0,172174,267275,191243,241263,0,188188,0,161161,0,0,221259
37,Mor,3,117119,207287,0,180182,236236,256268,166168,263271,175215,259275,268292,0,0,156161,235243,260260,283285
38,Mor,3,117117,175243,178178,180182,230240,312340,168172,215271,155243,265289,268280,178186,0,156161,0,260260,0
39,Mor,2,117129,223239,160160,180184,234238,268340,168168,247247,175195,255275,0,0,211211,155161,235243,260264,291291
40,Mor,1,117131,183199,174174,166168,240264,300332,172174,281307,167211,245285,292300,184186,213217,155161,235243,260260,0
41,Mor,2,121125,187251,162174,170212,238242,320344,168168,0,183231,265269,284300,0,213217,161161,235243,256260,217217
42,Mor,2,111117,303307,160180,166182,238240,252320,166168,283283,167183,269275,280304,0,0,155161,235243,256260,213217
43,Mor,3,143157,231259,160182,158180,238238,316380,166168,271275,171187,0,280296,0,0,161161,227243,256264,217221
44,Mor,5,117117,239243,160174,184202,236286,320328,168172,259291,187211,0,0,0,0,156161,243243,256260,0
45,Mor,2,111111,175231,160176,184194,236256,252320,168172,239295,167251,267281,280296,0,215219,156161,235247,260260,0
46,Mor,1,117133,263275,160174,158218,238250,316316,168168,247247,167207,259259,292300,0,211215,156161,243243,256260,221221
47,Mor,1,111115,219255,174176,170190,240286,316348,158164,265281,187207,265273,288292,188190,213217,156161,243267,260260,0
48,Mor,3,117143,227255,160184,156188,238250,272316,168172,247291,159231,255277,0,0,217219,156161,235235,256264,0
49,Mor,4,115123,235251,0,180184,236238,316336,162174,263263,167183,0,268292,0,211211,161161,243243,256260,0
50,Mor,0,117143,231239,178200,144172,236238,340364,168174,215251,167187,273277,292308,182188,217217,156161,235243,256264,215215
51,Mor,0,117117,215223,174178,168168,240258,300312,158170,243299,167175,259273,228296,182184,215219,161163,235243,260260,249249
52,Mor,1,117121,227247,160160,182214,240286,296328,156168,0,167175,269277,288288,188188,217225,161161,235243,260260,215217
53,Mor,2,117143,247279,174200,180188,236236,284380,168168,257261,183199,269277,280300,0,0,161163,227319,260260,249283
54,Mor,0,109117,195235,174176,154168,234238,324376,168168,243277,187211,265277,244304,182186,211217,161163,235243,260264,177221
55,Mor,1,133139,243287,170178,180198,238252,316320,166178,0,159171,261275,284296,182188,217219,161161,235243,260264,215249
56,Mor,1,117125,231251,174178,166182,234236,344360,158168,271295,159215,0,280312,182196,215219,161161,235243,260260,215257
57,Mor,1,117125,195227,174178,158206,236258,324332,168174,247279,167183,255287,280296,182184,217217,161163,235267,260260,0
58,Mor,1,117121,207243,160174,166188,256262,300340,156170,279313,167179,255275,284288,180196,217217,155161,243319,256256,0
59,Mor,3,117117,179187,0,188190,258264,272320,168174,247261,167187,267267,288296,0,211219,161161,235295,256260,0
60,Mor,5,119139,175243,160174,186188,236250,304360,168170,243261,0,281281,248292,0,0,161163,235243,0,0
61,Mor,2,111139,227251,178178,192208,234236,272316,168172,261279,167175,253269,284292,0,211211,161163,227235,264264,0
62,Mor,4,111123,187275,0,170182,238238,320340,172174,0,187215,259289,268284,180180,0,156161,235267,256260,0
63,Mor,1,117125,231263,160174,202220,236238,264272,168170,243271,167171,265269,292320,180182,215217,161161,235235,260264,0
64,pop,0,,,,,,,,,,,,,,,,,
65,Jam,1,111117,231247,174174,166212,238260,320348,164174,281291,167171,255281,300304,0,215215,156161,235243,256256,213221
66,Jam,0,117117,207303,160210,154216,236236,292316,162168,215261,167199,245289,276284,182184,213217,163163,219227,256260,215247
67,Jam,2,117157,183203,178178,156170,236236,288300,168178,0,167195,261277,296300,182186,0,156161,235243,256264,215217
68,Jam,2,117121,223259,174174,148190,238240,276320,176178,0,187191,0,284288,180190,213217,161161,235243,256260,217283
69,Jam,1,111159,187267,160178,178210,236240,328336,156176,265275,183191,251269,296296,0,211217,155161,235267,260264,215215
70,Jam,1,115139,223231,160174,168206,234236,316328,156168,251267,167191,261269,284296,0,215215,155161,243243,260264,177215
71,Jam,0,115121,199207,174174,190226,240258,300348,174176,223245,159227,255267,308320,180188,217219,155161,235243,260260,211221
72,Jam,1,109125,199203,160180,166206,236286,284300,166170,221303,159183,269277,276292,180180,211215,155161,243243,260264,0
73,Jam,2,111117,175223,176178,144180,234234,284308,168170,267281,167211,257267,276304,180182,0,0,235243,260260,211253
74,Jam,2,109123,239259,160174,154156,234236,0,156168,247281,179195,245275,296312,0,215217,161161,243243,260264,211221
75,Jam,0,117141,223227,160174,192208,238250,272312,170170,271295,167199,237257,284292,188190,219219,155161,235243,256260,179283
76,Jam,1,133143,251259,160174,200260,238252,296324,166168,245303,179199,269281,0,178178,217219,161161,235243,256260,273283
77,Jam,1,111117,211247,174176,186202,236236,316336,166172,245251,155171,261273,292304,0,211219,161161,235243,260264,207215
78,Jam,6,111127,183243,174180,0,234250,328344,172174,0,183235,0,0,0,219219,161161,235243,256260,0
79,Jam,0,119143,175179,160174,152172,240250,288312,168170,259283,183187,259273,288304,178186,225227,156161,235243,260260,283283
80,Jam,0,117119,175191,160178,144172,238262,252280,168174,287287,171199,257279,272280,178182,213213,161161,235267,260264,205213
81,Jam,0,117141,179215,160174,178216,236260,268296,168168,221247,191195,259269,280288,184186,217219,161161,243243,256260,217217
82,Jam,1,123139,215247,160174,178182,228230,324324,168170,245297,183203,259275,276292,184188,0,161163,235243,260260,205213
83,Jam,2,117117,187235,174182,180184,0,288312,156176,265281,191219,263265,260312,186188,0,155161,243243,256260,215251
84,Jam,1,123125,195203,174206,0,236238,252256,168174,245277,159167,257293,280288,184190,215217,161161,235243,260264,211221
85,Jam,0,117139,175259,160174,182212,238240,292360,156168,271291,195199,269271,284292,188192,215217,161161,243243,256256,211221
86,Jam,1,123125,239251,174184,168182,236260,300332,0,279295,167183,255263,268292,180182,213215,161163,235243,260264,215257
87,Jam,1,125143,203203,152164,170214,242286,320332,166168,275281,167215,261269,292300,182190,0,161163,235243,264264,217251
88,Jam,1,117137,227251,162174,172208,252260,276320,172184,251275,167191,257267,296304,0,211219,155161,243243,256260,293325
89,Jam,0,143147,239279,174174,158188,238238,316352,168174,265295,191215,257275,284292,180188,217217,155161,235243,256260,211221
90,Jam,4,137139,255263,0,150154,236238,280352,168168,245253,187195,255281,0,0,0,161161,243243,256260,215283
91,Jam,2,119147,171239,160178,168168,236242,308316,168174,247281,159203,257269,288296,186186,0,155161,0,260260,211221
92,Jam,2,117117,179183,160178,0,238238,296340,156168,283283,167195,245279,268284,0,215219,161163,235235,260260,217217
93,Jam,1,117133,227235,160160,166178,238240,308344,168178,287317,191215,267275,284304,0,217219,161161,235235,256260,213215
94,Jam,2,109111,243315,160160,174180,236238,268308,174174,251283,171251,0,280288,182184,215215,157161,243243,256260,0
95,Jam,0,125143,207275,174176,150166,236236,320324,168178,267267,167219,251261,320332,180186,211217,156161,243243,260264,221221
96,Jam,1,125143,207275,0,182194,250264,288324,168174,253317,175191,237279,268292,180186,215217,161163,235311,256260,213221
97,pop,0,,,,,,,,,,,,,,,,,
98,Shin16,0,117137,183247,174174,154216,244260,288344,168170,251275,167243,261273,292296,184188,211219,156161,235243,260260,251283
99,Shin16,1,109111,243251,160178,180208,230238,252364,162168,215253,167187,257261,280292,0,215219,161161,243243,260264,209217
100,Shin16,0,111117,215227,174178,182208,234236,300340,172174,247279,187191,257267,296300,182182,211217,161161,235235,260260,215215
101,Shin16,2,117133,203219,160174,168188,250258,0,168168,215271,159171,261273,0,180184,215219,156161,235243,256264,215283
102,Shin16,1,117131,247255,174182,174182,234250,288324,158168,243271,159223,245257,284288,188200,0,155161,243247,256260,249249
103,Shin16,0,117135,183187,174178,202204,236238,284364,158168,245281,191195,259259,284288,194196,217219,155161,243243,256260,215291
104,Shin16,1,117117,247251,176182,176178,236250,340344,168168,259285,167187,261289,0,182194,215215,155161,243243,256260,213251
105,Shin16,3,109119,227227,182188,188212,236238,292356,168168,263263,167195,257275,0,186188,0,161165,0,256260,217217
106,Shin16,0,141143,179231,176178,144182,234236,300336,166168,241291,191195,255265,284308,180188,217219,161161,243243,256260,217285
107,Shin16,3,123131,219243,166178,156184,234236,276344,156168,291291,187211,253269,0,0,211219,155161,0,260260,215215
108,Shin16,2,117117,211251,174174,170182,240240,292320,156168,247261,163191,0,0,188190,217225,161161,243319,256256,215215
109,Shin16,2,119119,183247,176210,176254,238260,316348,168168,313313,183187,0,292300,0,211213,161161,235243,260260,217217
110,Shin16,2,117147,179319,178182,170206,238242,268292,168172,253263,167191,0,296296,180182,0,161161,235235,264264,215217
111,Shin16,1,117139,223227,178182,192194,236250,324360,174174,215247,183191,255257,280280,182182,0,155161,235243,260260,217217
112,Shin16,2,117145,0,166174,178204,238252,316340,168168,263275,223251,245277,0,182182,217219,155161,235243,256260,219219
113,Shin16,0,131133,207267,166174,182186,230234,300328,174194,261267,187215,257283,288328,180186,215219,155161,235243,256260,217217
114,Shin16,1,117117,0,160160,174214,230234,292332,168178,279287,191195,231245,252280,184186,219219,161161,235243,260260,215283
115,Shin16,5,125139,295311,178178,168182,234236,272372,0,251251,163175,263265,0,0,0,161163,0,256256,213219
116,Shin16,15,0,207267,0,0,0,0,0,0,0,0,0,0,211235,0,0,0,0
117,Shin16,1,117157,259315,160180,182198,236236,252284,168188,261271,191191,0,272304,188188,211215,161163,235243,256260,217217
118,Shin16,0,117117,211319,160160,184186,238238,312312,168168,263287,183195,255257,300308,178182,211215,161161,243243,256260,211215
119,Shin16,5,117117,207235,0,186188,236250,324324,158174,243267,0,0,284296,184190,215225,161163,0,0,221283
120,Shin16,1,143147,191247,160178,154188,238264,308352,168170,247275,183191,263275,300300,182184,217217,161161,0,264264,215217
121,Shin16,6,119125,247255,0,168184,236238,320328,164168,243261,0,0,276288,182182,0,156161,0,0,217221
122,Shin16,1,117119,207215,160174,158190,236258,268332,168176,243245,167167,273273,272280,180182,0,161161,243247,260264,215217
123,Shin16,3,131139,219235,174178,186212,232250,0,168172,219287,159191,269275,0,178196,0,156161,235319,260260,213215
124,Shin16,2,109115,207211,176188,180188,236238,304316,168168,245313,187223,0,0,184188,211211,161163,243243,264268,215215
125,Shin16,2,111125,227247,160160,170210,236236,328332,162168,245249,171187,0,296296,0,211215,161161,235243,260260,217221
126,Shin16,12,119137,223227,0,0,234236,0,0,0,0,0,0,180188,0,0,0,0,217221
127,Shin16,0,117117,211259,174176,180190,240256,280320,164176,245295,187187,261285,280296,182186,211217,161161,235243,256260,213213
128,Shin16,1,127127,163199,160206,174188,240276,0,158168,265265,183199,257261,280296,186200,219225,156161,243243,256260,215251
129,Shin16,0,117139,195195,160174,182212,236236,280344,166170,215275,167243,259267,252280,184192,213219,161161,235235,256260,217217
130,Shin16,2,111125,211295,160178,150182,234238,340344,172172,265265,167235,253267,0,178186,215217,161163,0,260264,221221
131,Shin16,10,131137,175179,0,166170,0,0,168168,0,0,267273,0,188202,211215,0,0,0,0
132,Shin16,1,117157,191199,172174,188204,236240,312344,168172,275279,163167,259279,0,182182,217219,161161,243243,260260,217217
133,Shin16,9,117139,223227,0,156178,256258,0,168168,0,0,0,0,182190,211215,0,0,0,217291
134,Shin16,9,121133,191199,0,0,236240,0,168168,0,0,0,260296,186188,213217,0,0,0,217217
135,Shin16,2,117129,247251,174182,190192,236240,316336,168168,215251,0,269273,280288,184188,0,161161,235243,260260,217217
136,Shin16,1,139157,243303,162174,178214,228240,296320,168176,243287,187195,265293,288296,184200,209211,161161,0,256260,213215
137,Shin16,1,127131,247287,160176,162186,236252,312332,168174,271281,159231,253273,296300,180188,215219,156161,0,260264,221291
138,Shin16,1,109117,231231,160184,154212,238260,304332,168168,221259,183191,255261,284296,182188,0,161161,235243,256256,215283
139,Shin16,2,119121,251283,174178,192210,236236,316320,158168,267275,187251,253261,0,184198,211211,156161,0,256256,215249
140,Shin16,2,117119,239255,174182,182194,236238,268292,168168,269287,183187,261267,268280,180182,217219,161161,0,0,213217
141,Shin16,6,115117,195227,0,142186,226236,320348,166174,261265,171183,0,280300,188196,211211,0,0,0,0
142,Shin16,3,117143,231311,174176,210212,236238,308352,168170,283307,0,241269,292292,186188,0,161161,0,260264,213217
143,Shin16,0,117117,231255,156176,154184,234258,316324,156174,279287,187215,251275,280292,178184,215217,161161,243243,256260,213215
