wfgenepop_20_Sept2020,,,,,,,,,,,,,,,,,,,,
"S46,",119145,231247,174176,166166,0,254258,264280,162176,265279,203203,269285,288292,180180,211211,157161,0,256256,260260,278278,211249
"S47,",117133,163183,174182,154182,269305,236236,276312,158168,243271,191195,265269,0,180188,213217,156161,0,256256,260264,254274,217217
"S51,",119139,187187,174174,150156,297349,236286,300356,158168,263275,159195,267269,288300,184188,215219,161161,0,256256,256264,0,215221
"S52,",117147,195223,162174,144182,281321,236240,288328,158168,259279,167187,265329,288292,178196,211215,161163,0,256256,256260,266282,215249
"S53,",117137,183243,0,180212,0,236254,296328,168168,255271,183199,245279,280328,182186,213217,156161,243243,0,256264,0,0
"S55,",109135,183195,160174,182182,305333,236260,312340,156174,247301,179211,275279,276304,182184,211211,161161,0,0,260260,258298,217251
"S58,",117121,179255,160174,182192,305333,238260,312340,156174,0,179211,275279,276304,182186,211217,156161,0,0,260264,258298,217251
"S6,",117125,179183,178180,180186,313329,258262,320336,172172,251267,167187,245277,284304,190192,0,161161,0,256256,260264,0,211253
"S60,",117147,179207,176178,0,245309,238240,0,162168,217251,0,261281,288292,182190,211217,161163,235243,0,256260,254254,219249
"S61,",119125,207283,152164,168170,313325,236240,320332,168174,251263,163195,237257,0,188188,211215,156161,235243,256260,260264,270278,217249
"S62,",117119,191207,174178,180188,245313,236250,252320,166176,257271,187187,269275,284292,188188,213225,156161,235243,252260,260264,254278,217291
"S64,",119119,183191,174188,178208,325333,230236,332340,174194,247279,0,251259,280292,188188,0,161163,0,244244,256264,278278,217291
"S66,",117125,183215,174176,180216,265313,264280,272320,156168,283301,187195,269277,268292,182182,215217,161161,235243,0,256260,262262,221291
"S67,",117139,191251,174174,182190,297309,258286,0,0,251279,163195,245245,0,178180,0,155161,235243,252256,260264,254254,221221
"S68,",119127,179247,174176,164216,309357,236238,316364,168168,263299,167191,271277,268292,180186,211213,161161,0,252260,260264,254254,215249
"S69,",117137,211271,180180,180188,309337,240250,316344,172176,259289,163223,265271,284292,186188,0,161161,0,256264,256260,250274,213253
"S74,",117129,179187,0,0,309317,242250,316324,156168,0,0,0,292304,182196,211217,161163,0,0,256260,250286,0
"S75,",117123,215235,0,180180,265265,232240,272336,168168,0,187195,259265,0,180184,213219,161163,0,0,260260,0,217217
"S76,",117121,231235,162174,154184,245265,234240,252272,168168,0,187191,245259,0,182182,217219,161161,0,264264,260260,242242,221247
"S79,",111121,179263,160174,206220,261333,236238,268340,162168,255271,167191,255273,0,178196,207213,161161,0,0,256260,242298,215219
"S80,",117131,163243,166180,166186,269325,236258,276332,168168,247279,159159,255275,276324,182186,0,161161,0,244256,256256,254286,215215
"S82,",121143,195275,166176,206216,249249,230240,0,168168,247293,167183,265281,256288,178182,211219,161163,0,256256,260260,254266,239249
"S83,",117117,191271,174174,154170,277313,234238,280320,166168,271301,183195,0,236292,180180,219219,161161,251251,260260,256264,234270,0
"S85,",119143,179235,178178,180186,265309,238250,272316,168170,0,167191,0,288312,180184,211229,161161,0,0,260260,234286,215215
"S87,",121125,166211,174178,156200,317341,0,324348,0,0,0,0,276300,178188,215219,161161,243243,256260,256260,262306,0
"S90,",111125,231283,178180,184206,289341,238260,296348,168184,0,183191,281281,0,180186,0,161163,0,264264,260264,0,215257
"S93,",117139,179247,176176,144154,261317,238250,268324,168168,271305,167187,261269,276300,182188,0,156161,227235,244244,256260,278278,251291
"S94,",117123,179251,0,0,313317,234240,0,168168,0,179195,0,276288,182184,0,156161,0,0,256260,0,221257
"S95,",113117,243247,176178,166210,309309,236238,316316,172174,247263,187243,285285,280304,188190,211213,161161,235243,256260,256260,270270,217217
"S97,",117143,191231,160166,170184,325341,236238,332348,168178,0,159171,255273,268280,180182,219219,155161,227235,256264,256260,258262,217217
pop,,,,,,,,,,,,,,,,,,,,
"173,",113121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174,",115139,203227,0,0,321353,236238,0,168168,0,0,0,284296,180184,0,161161,0,0,0,0,0
"175,",117141,0,0,0,0,236238,0,0,0,0,0,292292,0,0,0,0,0,234238,0,213217
"176,",117117,175207,174176,0,277309,250286,280316,162176,251287,191207,275279,0,182188,213215,156161,235243,256260,256264,0,217217
"178,",115153,195243,162164,192208,317329,0,320336,162162,255291,163199,245283,280292,182188,211217,156161,243319,252256,256260,0,217217
"179,",117121,239259,0,0,317345,236240,324352,162168,0,0,267269,284296,180186,211219,0,235243,0,260260,262266,215221
"180,",117137,219267,160166,184208,313353,238240,320360,166168,247279,195223,261289,280292,180188,215217,161161,243243,260260,260264,0,215283
"181,",109117,187203,174176,172198,313337,234264,320344,0,279279,187191,259277,0,182182,215219,161161,243243,252256,256260,0,283291
"182,",117117,183203,0,168168,245265,240286,252272,174176,247291,187187,257273,268288,182196,217219,161163,0,0,260264,0,213217
"183,",119133,271287,180208,158184,269269,236240,276292,168174,219219,183187,257261,0,188188,215217,161161,0,276276,256256,242294,215215
"184,",121121,227251,174180,172182,273333,240286,280340,168170,247275,167199,261289,284300,188190,213215,156161,235243,256256,256260,0,0
"185,",115119,235247,0,166166,2450,230236,0,162174,255295,167183,265269,272292,180186,0,156161,0,256256,0,262270,217221
"186,",121143,223251,0,0,0,0,0,166168,215219,0,0,0,184194,0,156161,0,0,0,0,0
"187,",111137,183243,160160,160182,313341,236236,320348,164172,215219,167183,261261,284292,182184,217219,156161,235267,0,256260,278310,217283
"188,",117123,211247,0,0,245289,238252,252296,168170,235283,191191,265273,296296,180200,0,161161,235267,244256,256264,246250,213213
"189,",117123,195251,0,0,245289,236242,0,0,0,187195,0,0,182186,211215,155161,0,244256,0,0,0
"190,",0,239259,0,168184,0,0,0,0,0,187215,257269,292296,178184,211217,161161,0,0,0,0,0
"191,",117139,179179,0,184194,0,0,0,0,0,159195,257269,0,186190,0,0,0,260260,0,0,217221
"192,",117117,239243,0,180186,277325,238260,280304,168178,245267,167207,0,292296,182184,217219,156161,227227,260260,0,0,215217
"193,",117121,171179,158174,194260,313377,238258,320384,164166,243283,159179,265273,284312,176196,217217,156161,235243,264264,256256,238282,215215
"194,",117117,227231,176178,178182,273321,236242,280328,156168,245271,159167,259267,288300,178188,217217,156161,235235,260260,256260,274286,215291
"195,",117125,223239,160160,150200,277309,236238,272312,166168,247291,183187,269281,0,182186,217217,156161,0,256264,256260,238298,0
"196,",117119,227255,166182,154178,313333,234236,320340,0,261269,187195,269275,280284,182188,211219,161161,235243,256264,256260,262270,217221
"197,",117139,0,0,184212,3130,238258,0,168172,215243,0,0,0,182190,0,155161,0,0,256260,254266,215221
"198,",121123,179247,178178,180204,269341,236238,292348,168168,245283,159167,275277,0,0,0,161161,243243,256256,260260,274290,0
"199,",127131,239247,166180,170186,305333,236264,312340,168172,267299,167183,257269,284304,182184,215217,156161,243243,244256,256260,274290,0
"200,",117127,215235,180180,170214,0,240252,296324,162166,275287,159243,255267,236292,178190,217219,156161,243243,256264,256260,0,0
"201,",111117,251255,174174,182188,0,236240,0,168168,243255,167171,0,0,182196,211217,156161,235243,256264,260260,282298,0
"202,",125143,231247,160206,178214,333357,238260,340364,168172,255283,167183,265275,272320,186196,193217,156161,235235,252256,256260,274282,181283
"203,",117137,171267,174174,154180,297337,240264,344344,168198,273283,167251,255293,236288,182184,217217,156161,0,0,260264,258282,249251
"204,",115119,227239,174176,168180,265277,236238,272284,168168,0,183187,263277,300316,182186,0,156161,243243,260260,260260,246294,283285
"205,",117131,251271,160174,144198,297309,236238,304316,158168,261291,199199,261281,0,194196,215215,161161,227243,0,260260,0,207215
"206,",117121,231243,166174,182216,0,236250,288300,166168,239281,191191,261265,280292,184190,217221,161161,235243,256256,260260,0,215291
"207,",139148,155259,178202,202240,277289,236236,284296,168174,247255,163223,267281,276292,186190,209227,155161,235243,244244,256260,0,217251
"208,",121143,183195,174174,0,261313,236260,268320,168176,0,187195,255269,0,180188,213219,155161,235243,256260,260264,0,221221
"209,",109117,183255,0,170186,0,236250,276320,162168,287295,0,261269,252292,182194,0,161161,0,256256,0,258274,215221
"210,",109123,211243,160188,178180,261329,236238,268336,168168,279283,191211,263281,236288,182190,211211,155161,235243,252252,260260,0,211283
"211,",117177,211211,178182,0,273333,230238,280340,168174,263287,167167,261269,0,188188,0,155161,243243,256260,260264,0,217283
"212,",117125,239247,160174,206222,261309,252254,268316,168168,215243,175191,267271,276288,0,211219,161163,235267,248260,256256,0,217217
"213,",117131,179195,174174,148180,269341,250260,276348,168168,247295,171187,0,0,182196,215215,161161,235243,256256,256260,0,221283
"214,",117147,235243,160166,182184,313321,234238,320328,158168,265283,183243,267275,0,184194,211219,161161,235243,244256,260260,0,0
"215,",117117,191259,174188,188208,333345,234240,340352,158168,259259,167187,0,0,0,209217,161161,243243,252264,256264,0,221283
"216,",111137,195243,0,0,309317,236240,316324,172176,215261,0,269275,0,0,0,0,243243,0,256256,246266,215215
"217,",117121,191263,0,190190,313313,236236,320320,166168,247261,0,263267,292292,184188,0,161161,243243,256264,0,0,217217
"218,",111121,175215,0,166192,293321,236238,300328,168170,215277,171191,255277,276300,186226,211215,155161,0,0,0,0,215221
"219,",117161,235263,174180,178216,333341,236238,340348,170174,291291,187243,259269,292332,182182,213217,161161,243243,244256,256256,282306,217217
"220,",117121,251315,160164,182208,293317,236238,300324,168168,263299,191211,269277,292296,188188,213217,155161,243243,256256,260268,0,0
"221,",119133,207223,174176,180182,257333,238258,264340,168172,271299,167199,267269,280292,188188,213219,161161,235235,244248,260264,270270,217217
"222,",115119,227259,160212,186186,269349,236260,276356,166168,263265,175183,0,0,182188,217217,156161,243243,244263,260260,266266,0
"223,",111125,247295,180182,150188,309321,238238,316328,168176,251281,159223,255263,284316,186188,215225,161163,227235,256260,256264,0,215215
"224,",117147,251259,174178,190216,245325,238258,252332,158162,303317,183227,255279,280296,180188,211211,161163,235335,256264,260264,262266,217217
"225,",115133,179227,160176,188194,289305,238250,300312,162162,261291,179187,261273,272292,186192,211211,157161,235243,260264,256260,254266,217217
"226,",121125,183223,176178,154208,297341,236238,304348,168174,287291,183203,255275,0,180182,219219,156161,243243,264264,256260,246246,215217
"227,",117119,251267,178188,172184,313321,234238,316328,168174,235275,187187,259259,288304,178186,213217,161161,243243,244260,260264,0,211217
"228,",117121,191283,0,158198,281313,238238,288320,162168,243303,0,261277,264288,180188,0,156161,243243,0,0,0,181217
"229,",129137,227239,160180,178182,261321,230236,268328,168176,243247,167203,267285,0,182188,215219,161161,0,0,260260,250290,213215
"230,",125139,171259,160174,168190,245313,236240,248320,168172,235275,167191,277289,284292,180190,211217,156161,243243,256264,256260,270270,177217
"231,",117117,207239,160204,180218,289321,250260,296328,168168,247279,167199,257275,0,180200,217219,156161,235243,248256,256260,274302,215215
"232,",117125,215235,178178,170216,313317,236238,332340,162174,243303,195195,267281,244296,178184,215217,161165,0,256260,256260,262262,213213
"233,",109143,159231,174174,182220,0,0,320360,168168,245287,187195,255269,272276,180182,213219,161161,235243,256260,260264,258290,217221
"234,",109111,187235,0,188212,0,234246,320320,168172,215247,167179,263277,288292,184186,213219,156161,243247,256256,256264,246286,215215
"235,",119121,247263,160178,158220,245301,236238,248308,156166,287287,167187,257279,292296,182190,211225,156161,235243,256256,256260,274278,215215
"236,",117137,175239,160174,158172,261325,226238,268332,166172,265287,183187,255279,0,180182,211215,156161,243243,272272,256256,274274,213289
"237,",117137,199243,160208,144180,253265,236250,260272,156170,247255,167167,255269,280296,186190,211219,161161,235243,256264,260260,246274,177251
"238,",0,0,0,0,0,234238,0,0,0,0,0,0,0,213213,161161,243335,0,0,0,291291
"239,",139143,183183,174178,206212,245353,236236,248360,162174,271283,171195,257269,280296,188192,215217,163165,235243,256264,260260,270286,221221
"240,",111117,191231,160180,156170,0,236258,0,158168,243283,191199,263269,292312,180188,219219,156161,235243,252252,260264,242270,215215
"241,",111121,183223,174210,148184,261289,224238,268296,156170,245299,159195,259269,280304,184188,211213,156161,243267,244260,260264,234270,249249
"242,",115117,235239,160174,188212,261265,236250,0,168174,257317,159187,261285,284296,182186,213217,156161,0,256260,256260,266266,217217
"243,",109121,219263,178180,178188,269309,236238,276316,166168,281281,159195,255261,292300,182196,211211,161161,235243,256268,260260,262266,221223
"245,",119139,183191,174190,154210,281313,238258,0,0,245271,159187,275275,276296,176188,217217,156161,0,244260,260264,278294,215217
"246,",117117,227247,174180,178194,273309,236268,280316,168172,219263,187195,273279,0,178188,217225,161161,243243,256256,264264,246274,217221
"247,",125125,255259,178182,150168,245313,236260,252320,172178,247283,167171,277281,256288,184188,215217,156161,235243,264264,256260,302302,217251
"249,",121125,223227,174188,190208,245321,238240,252328,166178,291291,159191,261281,292304,182188,211219,156161,243243,252256,256264,246258,213213
"250,",119119,203219,160174,0,297329,230236,304336,170172,271275,159191,261265,280284,178190,215219,156161,243243,256260,260268,266282,215247
"251,",111117,211271,160174,156182,305321,238258,312328,164174,261287,163191,259283,280300,188188,211217,156161,235243,244260,256256,270270,221221
"252,",125135,215243,160182,158192,265337,246266,272344,166168,245271,195207,261317,280292,180186,219219,161161,227235,248248,256260,250266,213221
"253,",117117,223243,160178,158208,277325,234286,284332,168168,243279,159183,273277,268280,0,215219,161163,243319,256256,264264,278278,213255
"254,",111117,223263,166174,214216,273297,238260,280304,0,243243,171199,265281,288292,182190,211211,161161,235243,260260,256264,0,215221
"255,",109111,207207,174178,166216,297325,238238,304332,0,255263,191195,259271,252280,178190,211217,161161,235243,248260,256260,0,213251
"256,",109135,239267,160174,182184,273337,230238,280344,170178,245277,167195,261269,260284,188190,213215,156161,243243,256268,0,0,215221
"257,",117137,207207,166174,182182,313337,240244,320344,0,245263,159179,259275,280304,180186,211219,156161,235243,244256,256260,0,217217
"258,",117117,183227,160178,182198,245349,240250,252356,0,215283,243243,273281,252288,184186,211219,156161,235243,268268,268272,246294,215251
"259,",117135,235239,166166,178220,317325,236258,324332,168186,275317,163171,265267,268280,190196,211221,156161,235235,256256,0,0,213221
"260,",117117,203247,160182,156212,273313,240258,280320,156170,247249,179203,275283,284296,186188,213217,161161,251259,248256,0,0,213217
"261,",137139,183191,176178,182222,289353,234236,296360,0,245249,183199,289289,280292,188188,0,161161,235243,260260,0,0,0
"262,",117119,179203,176188,168182,257313,250260,264320,168170,271271,159183,277281,0,182184,211219,157161,235235,256256,256256,0,215215
"263,",137143,243247,0,182210,289325,236260,300332,172174,0,187251,269283,280308,180182,211215,156161,235243,0,260260,0,217221
"264,",117117,183239,160174,182182,273309,236286,280316,168168,279287,167167,275277,272312,0,215217,161161,235243,0,260260,286286,211217
"265,",133133,243255,160174,176182,269317,236238,276324,168168,243245,167235,251255,260304,180188,219225,156161,243243,260260,256260,0,215289
"266,",147157,255259,0,0,289305,236236,300312,166168,219275,199243,263265,280304,178190,217225,156161,235243,252256,260260,0,221249
"267,",119133,195207,0,156168,325329,236236,332336,168172,235243,187187,261261,268288,180184,217217,157161,235243,256260,260264,0,221283
"268,",121125,187187,174188,176220,265289,230258,272296,170174,279281,187195,261273,284288,180188,217219,161161,235235,256256,260260,262278,179217
"269,",111143,243247,160160,188220,313321,236260,320328,168168,255283,167183,273281,280292,186186,213217,161161,235243,0,260260,0,217217
"270,",113117,187247,160160,158208,313317,236236,320324,168168,259287,183207,257269,280296,180184,215217,161161,243243,256268,260260,262274,215215
"271,",117119,183195,160174,192216,309325,234258,316332,0,263275,187215,261313,280284,188190,217219,156161,235243,0,260260,250250,217221
"272,",111119,219251,160174,160182,305341,238240,312348,174176,271271,179183,277281,280284,180188,211217,161161,235243,0,256260,270290,217217
"273,",119143,187195,174176,156188,261273,230236,268280,168174,259267,183195,261281,292296,182200,211211,161163,243243,248248,256260,274274,213213
"274,",121141,187187,176176,148182,289297,240260,296300,168180,245271,0,257269,280304,180186,211215,156161,235243,256256,260260,266278,215253
"275,",117133,183247,174174,158214,261325,256286,268332,168168,245287,159195,257277,280292,184186,217219,156161,235243,264264,260264,246246,0
"276,",109117,243247,174178,0,265273,234264,272280,168174,281287,0,275281,288292,180188,213213,161161,243243,256256,256260,0,221221
"277,",109117,183195,160180,150150,297325,238238,304332,168168,261291,191195,255257,284288,180182,211217,155161,243243,256256,260260,290294,215249
"278,",117119,223271,174178,174184,333333,240258,340340,162164,247247,191235,269297,280280,180184,211215,161161,235243,244256,256260,242242,221221
"279,",129139,195247,176178,148158,273321,236236,280328,168172,247291,183199,261273,276280,180182,217219,156161,243243,260260,260264,266266,217217
"280,",111119,219243,160174,166188,309321,250260,316328,168168,221255,179183,267281,0,158186,211213,161161,243243,244252,260264,258274,217217
"281,",119125,251267,174188,210220,277285,234236,284292,166168,251263,167191,253285,280296,190196,219229,156161,227235,248248,256264,262262,215291
"282,",117133,191247,174188,184218,321345,236238,328352,0,245257,203247,259269,0,182190,211219,156161,173235,0,256260,254258,213215
"283,",109117,223267,174174,156208,0,234236,300312,0,261283,167215,273279,280292,190190,217219,156161,235243,264264,256260,266266,221221
"284,",119125,183239,160160,190212,289289,236236,296296,0,243245,163183,253261,268272,182188,211215,161161,235243,0,256260,274274,221221
"285,",121139,187211,178178,148214,313337,236240,320344,0,219267,167187,255273,0,176180,211215,161161,243243,248260,260260,234238,215283
"286,",117121,215223,160182,166168,325333,236238,332340,156168,251287,215235,261265,0,182186,217217,161163,227243,260260,260264,250278,215217
"287,",117129,191211,174176,182220,313353,228236,320360,168186,247299,199243,0,288292,0,219221,161163,235315,0,260264,270270,217249
"288,",135139,215247,160162,158220,273277,0,280284,164174,221263,159167,269271,280320,178182,211215,157161,227235,252256,256260,258266,215251
"289,",119135,183255,166174,156210,313321,234238,320328,168172,219263,159183,259263,272296,180182,219219,156161,243243,0,260260,290290,221221
"290,",117139,243251,160174,186190,341353,238260,352360,168172,267291,183199,257263,292296,0,211211,156161,235243,252256,260260,238238,215215
"291,",133148,231263,184188,156180,325341,238250,332348,0,281299,0,253283,280288,184186,219219,156161,235243,244256,260264,242242,217283
"292,",117143,179243,166178,172182,289333,238256,0,0,245251,159223,277279,272292,188194,215217,163163,235235,256256,0,270286,215215
"293,",135147,251259,174208,190214,289353,230238,0,0,245291,163191,261281,268280,182186,211217,155161,243243,0,256260,238258,213213
"294,",111111,195251,166178,174192,333345,234240,340352,168168,251295,175199,265281,268296,180188,211215,155161,235243,260260,260260,270278,215217
"295,",133139,183251,174178,0,277309,236240,284316,168168,261283,187195,255277,280288,0,215217,156161,243267,240248,260264,286290,215285
"296,",117117,227255,160174,182182,269329,272286,276336,168168,247283,199247,269275,248260,182182,211215,156161,243243,252252,260264,0,213221
"297,",125131,231247,174174,180194,309345,238264,316352,168170,245245,0,269277,280288,182190,217217,156161,243243,0,256260,266266,215221
"298,",117131,227263,166180,188220,269313,236236,276320,168170,279281,171215,0,280280,178190,211219,161161,235243,0,260264,262290,0
"299,",119143,175191,174176,182190,257353,234260,264360,162178,243287,171195,0,288296,186226,211211,156161,235235,0,256256,262294,283283
"300,",111125,179215,188192,192210,265357,244286,272364,164176,251299,183187,0,280284,182226,211219,0,243243,260260,260260,278298,181217
"301,",111117,223231,174182,130180,297345,236240,300352,0,243271,171199,265281,0,0,213217,161161,243335,256260,256264,286290,213221
"302,",117139,235255,160178,190206,245289,236240,252296,168172,221263,183191,255293,292292,0,211217,161161,235243,260260,256260,266266,215215
"303,",137143,243247,180184,182210,289325,236260,300332,172174,251263,187251,269283,280308,0,211215,161161,235243,0,260260,258270,217221
"304,",115131,159215,160160,182208,273341,234250,280348,168168,287289,191247,267285,260292,182232,217217,155161,235243,256268,256264,286290,249291
"305,",117119,183207,176178,192192,325353,236238,332360,166178,255283,199199,263285,296312,188200,0,161161,235243,256268,260264,0,207217
"306,",117121,219243,174178,158168,261293,236238,268300,168170,269271,159195,285297,268276,178200,0,161161,235243,252256,256260,258258,217221
"307,",109117,227255,178178,150178,273313,230242,280320,168174,271289,159159,267289,296300,188188,209217,161161,0,252260,256260,270286,207215
"308,",131139,251255,178178,208216,269293,236258,276300,0,243267,159187,257273,256292,0,0,155161,243243,244244,256264,258270,213215
"309,",111125,219223,174178,142148,245273,236238,252280,170176,275283,159195,257265,292324,180182,211219,161161,243243,0,256260,262286,215215
"310,",117135,183195,178178,158170,245333,240254,0,162168,243247,175199,257269,296300,180188,209217,161161,235243,0,260260,0,215251
"311,",117131,195195,160160,180182,273333,236236,280340,168172,251275,167191,241271,0,178184,211211,161161,0,264264,260260,262278,215215
"312,",127137,183251,160188,180180,0,236260,320320,166168,247279,171199,257257,284292,180188,0,161161,235243,0,256260,290290,0
"313,",111137,211247,174178,172198,265277,238272,272284,168168,247263,159191,259259,288304,188188,211219,161161,0,256256,256260,270270,215249
"314,",121139,247255,174184,154166,297313,238250,300320,168174,251289,223243,261267,0,180190,207215,161161,0,252256,256260,0,213217
"315,",115119,207223,166208,180186,265341,238240,272348,168174,243267,159195,285285,0,182182,219219,161161,235243,244260,256256,0,215215
"316,",145147,203263,160174,158180,293313,236286,300320,172178,255271,171195,255257,288296,0,207217,161161,235235,0,256264,266274,215217
"317,",117143,207267,176178,148178,265309,236250,272316,168172,247283,167187,255263,280292,178186,213219,161161,235243,0,256260,290290,213221
"318,",125131,255267,160160,182204,245297,236236,252300,168170,251289,183183,0,296304,180188,211213,161161,0,0,280288,0,213215
"319,",121121,235239,174180,150206,325353,240260,332360,156166,289301,159183,255269,284320,190196,211211,161161,0,248256,256260,290290,181215
"320,",109117,191235,160166,166204,321357,236280,328364,170170,279291,187187,275281,288296,0,217219,161161,0,0,256260,0,215215
"321,",111125,203247,164166,186200,265321,238258,272328,168174,275281,159183,259267,0,188196,215215,161163,235243,0,260260,282282,215215
"322,",117129,183263,178180,182184,269329,236238,276332,166168,283289,183215,261265,276280,180188,215217,161161,0,256256,256260,0,215283
"323,",125135,219259,176182,154188,321333,236236,328340,168168,243247,167211,255275,276284,180190,0,161161,235243,0,256260,246254,221251
"324,",115121,231247,160174,176206,245273,238244,252280,0,221247,167195,255269,280292,184186,0,156161,235243,0,260260,242242,217217
"325,",119123,239259,NANA,166220,0,228260,320320,168172,243247,163251,255269,264300,0,213217,161161,235243,256256,256260,270278,217217
"326,",117133,187191,162178,148156,269313,238238,276320,160168,283289,0,257259,276284,182188,215215,161161,0,252260,260260,246270,221291
"327,",111125,183203,0,148192,273353,230238,280360,168176,299301,0,0,280292,180200,211211,161161,0,256256,256260,238270,215221
"328,",117117,231271,174184,192194,245273,238262,252280,168168,263263,187191,261267,288296,180196,217219,161163,0,0,256268,278278,249283
"329,",117119,283287,166174,152166,309325,238286,316332,174180,271305,187211,237271,284292,182196,0,161163,0,0,256260,246246,217217
"330,",117139,219267,0,180192,333337,238250,340344,156184,267279,191199,261285,284292,180188,0,161161,227235,256260,256256,254254,0
"331,",115117,219223,160160,162210,313345,238286,320352,162168,267317,163187,293305,308320,190190,217219,161161,235243,260260,260264,258258,0
"332,",117147,207247,166174,186188,281309,238240,288316,168168,219287,183199,245271,280296,182190,211211,156161,0,260260,264264,258290,215217