"","GRP","variable","meanvar","sdvar"
"1","ALL","EVENNESS",0.714081051683011,0.114212608755611
"2","ALL","Fis",-0.00131176470588235,0.0858864503454484
"3","ALL","Ho",0.823817647058824,0.124096133276253
"4","ALL","Hs",0.829276470588235,0.139292509352674
"5","ALL","Ht",0.831111764705882,0.13850360953037
"6","ALL","N_ALLELES",25.1764705882353,12.0583751710048
"7","ALL","SHANNON_IDX",2.36059919528168,0.78806213332298
"8","ALL","SIMPSON_IDX",0.828492559944449,0.14164834456326
"9","ALL","STODD_TAYLOR_IDX",10.6230287171957,7.97690525531874
"10","Atl","EVENNESS",0.719833965501006,0.117576481000066
"11","Atl","Fis",-0.00262941176470588,0.0868454069360168
"12","Atl","Ho",0.823694117647059,0.125892739418265
"13","Atl","Hs",0.828235294117647,0.142383882256633
"14","Atl","Ht",0.828235294117647,0.142383882256633
"15","Atl","N_ALLELES",22.4117647058824,11.5003196886511
"16","Atl","SHANNON_IDX",2.33841081892113,0.792544739171935
"17","Atl","SIMPSON_IDX",0.825521920969511,0.141813190432756
"18","Atl","STODD_TAYLOR_IDX",10.5582879475304,8.12166897703117
"19","Jam","EVENNESS",0.789079721091989,0.103685494822323
"20","Jam","Fis",-0.0242,0.0717126296408101
"21","Jam","Ho",0.851611764705882,0.127277982592989
"22","Jam","Hs",0.836835294117647,0.140727560116953
"23","Jam","Ht",0.836835294117647,0.140727560116953
"24","Jam","N_ALLELES",14.8235294117647,8.13353623983479
"25","Jam","SHANNON_IDX",2.20236604445338,0.743541281107323
"26","Jam","SIMPSON_IDX",0.822232213211768,0.137839388146282
"27","Jam","STODD_TAYLOR_IDX",9.64035408187284,6.91627596483986
"28","Mor","EVENNESS",0.752699787468338,0.096573396063005
"29","Mor","Fis",-0.00525294117647059,0.156751344163483
"30","Mor","Ho",0.820335294117647,0.163076780003993
"31","Mor","Hs",0.820017647058824,0.134850714844667
"32","Mor","Ht",0.820017647058824,0.134850714844667
"33","Mor","N_ALLELES",12.6470588235294,6.92767255713082
"34","Mor","SHANNON_IDX",2.04762182317409,0.669678811998444
"35","Mor","SIMPSON_IDX",0.798549647603051,0.13224726968885
"36","Mor","STODD_TAYLOR_IDX",7.62592719251615,5.22744752997397
"37","Mt","EVENNESS",0.749354144228173,0.0983932741212997
"38","Mt","Fis",-0.00821176470588235,0.116273873260252
"39","Mt","Ho",0.833470588235294,0.136981151827112
"40","Mt","Hs",0.834129411764706,0.142248285423348
"41","Mt","Ht",0.834129411764706,0.142248285423348
"42","Mt","N_ALLELES",15.9411764705882,8.06590500374334
"43","Mt","SHANNON_IDX",2.23735621115819,0.721411436074959
"44","Mt","SIMPSON_IDX",0.822116774875359,0.13961300370077
"45","Mt","STODD_TAYLOR_IDX",9.37409993707295,6.42013852261765
"46","Mt_2016_1","EVENNESS",0.795530458587739,0.0818936622700931
"47","Mt_2016_1","Fis",-0.0352411764705882,0.170522964211655
"48","Mt_2016_1","Ho",0.853223529411765,0.134237329613505
"49","Mt_2016_1","Hs",0.836758823529412,0.135321390857209
"50","Mt_2016_1","Ht",0.836758823529412,0.135321390857209
"51","Mt_2016_1","N_ALLELES",11.8823529411765,5.85109341214504
"52","Mt_2016_1","SHANNON_IDX",2.07395830901361,0.639805596982227
"53","Mt_2016_1","SIMPSON_IDX",0.813009822345643,0.129770034911603
"54","Mt_2016_1","STODD_TAYLOR_IDX",8.01266008955123,5.06834545615823
"55","Mt_2016_2","EVENNESS",0.769071838332557,0.111066146537029
"56","Mt_2016_2","Fis",0.0155117647058824,0.130859628430396
"57","Mt_2016_2","Ho",0.813858823529412,0.168138153979189
"58","Mt_2016_2","Hs",0.828664705882353,0.151336978879818
"59","Mt_2016_2","Ht",0.828664705882353,0.151336978879818
"60","Mt_2016_2","N_ALLELES",12.4705882352941,6.07368964323606
"61","Mt_2016_2","SHANNON_IDX",2.09238803288661,0.673152716037333
"62","Mt_2016_2","SIMPSON_IDX",0.80446098424616,0.146333897432697
"63","Mt_2016_2","STODD_TAYLOR_IDX",8.09533541950079,5.0684989444999
"64","Mt_adults_3","EVENNESS",0.751382420085356,0.0991452016857267
"65","Mt_adults_3","Fis",0.00238823529411765,0.0855689333399755
"66","Mt_adults_3","Ho",0.816617647058824,0.127419490440504
"67","Mt_adults_3","Hs",0.8267,0.150010716283871
"68","Mt_adults_3","Ht",0.8267,0.150010716283871
"69","Mt_adults_3","N_ALLELES",16.9411764705882,7.85390498601885
"70","Mt_adults_3","SHANNON_IDX",2.23712899330418,0.744320640938244
"71","Mt_adults_3","SIMPSON_IDX",0.819511918085179,0.148595207195321
"72","Mt_adults_3","STODD_TAYLOR_IDX",9.51951044857962,6.43049183785676
"73","Mt_adults_4","EVENNESS",0.819616583490238,0.0883332996485063
"74","Mt_adults_4","Fis",-0.0210411764705882,0.126426386974909
"75","Mt_adults_4","Ho",0.859158823529412,0.153464666368286
"76","Mt_adults_4","Hs",0.846588235294118,0.137123078301726
"77","Mt_adults_4","Ht",0.846588235294118,0.137123078301726
"78","Mt_adults_4","N_ALLELES",9.76470588235294,3.73378848766079
"79","Mt_adults_4","SHANNON_IDX",1.98057610134165,0.531338235091783
"80","Mt_adults_4","SIMPSON_IDX",0.80877269426289,0.129894570481294
"81","Mt_adults_4","STODD_TAYLOR_IDX",7.06243920687286,3.42978780993578
"82","Nap","EVENNESS",0.785280662655025,0.088779643517212
"83","Nap","Fis",-0.0131117647058824,0.152051076460975
"84","Nap","Ho",0.851258823529412,0.152502057604248
"85","Nap","Hs",0.845770588235294,0.130006508321247
"86","Nap","Ht",0.845770588235294,0.130006508321247
"87","Nap","N_ALLELES",14.0588235294118,7.3354497837155
"88","Nap","SHANNON_IDX",2.19203572115326,0.690876105519342
"89","Nap","SIMPSON_IDX",0.825730078748341,0.126750736687119
"90","Nap","STODD_TAYLOR_IDX",9.14953377707121,6.05585573386744
"91","Shin","EVENNESS",0.725181367206794,0.126924232042549
"92","Shin","Fis",0.0216764705882353,0.0820498516864272
"93","Shin","Ho",0.787811764705882,0.149664733163632
"94","Shin","Hs",0.811435294117647,0.161280117114512
"95","Shin","Ht",0.811435294117647,0.161280117114512
"96","Shin","N_ALLELES",16.8235294117647,8.96685071609346
"97","Shin","SHANNON_IDX",2.1836923668402,0.772027661089539
"98","Shin","SIMPSON_IDX",0.802608650816893,0.159417434356979
"99","Shin","STODD_TAYLOR_IDX",9.00532916385324,6.74519301226809
"100","Shin_2016_1","EVENNESS",0.738808621378786,0.125867475472821
"101","Shin_2016_1","Fis",0.0163,0.0942508222775802
"102","Shin_2016_1","Ho",0.792282352941176,0.149072017978283
"103","Shin_2016_1","Hs",0.812652941176471,0.162718868442043
"104","Shin_2016_1","Ht",0.812652941176471,0.162718868442043
"105","Shin_2016_1","N_ALLELES",14.7058823529412,7.80035821198579
"106","Shin_2016_1","SHANNON_IDX",2.12996897981925,0.743132901096895
"107","Shin_2016_1","SIMPSON_IDX",0.798508565289928,0.159582585724236
"108","Shin_2016_1","STODD_TAYLOR_IDX",8.46728767463242,5.98630291044223
"109","Shin_2016_2","EVENNESS",0.760264766057038,0.112815199644962
"110","Shin_2016_2","Fis",0.0357470588235294,0.0883604557879758
"111","Shin_2016_2","Ho",0.780658823529412,0.165837556281831
"112","Shin_2016_2","Hs",0.813064705882353,0.161432354026294
"113","Shin_2016_2","Ht",0.813064705882353,0.161432354026294
"114","Shin_2016_2","N_ALLELES",11.7647058823529,5.88992160139575
"115","Shin_2016_2","SHANNON_IDX",2.00643060998394,0.670873860157751
"116","Shin_2016_2","SIMPSON_IDX",0.789336692121955,0.156789237137605
"117","Shin_2016_2","STODD_TAYLOR_IDX",7.37627497111549,4.74842514551721
"118","Shin_2017_1","EVENNESS",0.760178489490936,0.109752232544192
"119","Shin_2017_1","Fis",-0.00265882352941177,0.141913891404363
"120","Shin_2017_1","Ho",0.815741176470588,0.133907468326189
"121","Shin_2017_1","Hs",0.824494117647059,0.143893087353894
"122","Shin_2017_1","Ht",0.824494117647059,0.143893087353894
"123","Shin_2017_1","N_ALLELES",11.5294117647059,5.28107052427374
"124","Shin_2017_1","SHANNON_IDX",2.0218346000851,0.613754885878726
"125","Shin_2017_1","SIMPSON_IDX",0.799037875512368,0.139084775910256
"126","Shin_2017_1","STODD_TAYLOR_IDX",7.03217509091011,3.73211780099164
"127","Shin_2017_2","EVENNESS",0.756786072899715,0.100131118786774
"128","Shin_2017_2","Fis",0.0151588235294118,0.139773898040834
"129","Shin_2017_2","Ho",0.815758823529412,0.161671611835626
"130","Shin_2017_2","Hs",0.834029411764706,0.138536122386482
"131","Shin_2017_2","Ht",0.834029411764706,0.138536122386482
"132","Shin_2017_2","N_ALLELES",14.4705882352941,7.49264345090255
"133","Shin_2017_2","SHANNON_IDX",2.17097361217952,0.67004415258647
"134","Shin_2017_2","SIMPSON_IDX",0.819131470338572,0.136756964344254
"135","Shin_2017_2","STODD_TAYLOR_IDX",8.48292001701382,5.28699388814788
