Tag ID,Spawning Date
0602161101,2015-11-22
060216561,2016-02-01
060216562,2016-01-06
060216651,2016-02-21
060216652,2016-01-12
060216653,2016-01-29
060216654,2015-11-25
060216655,2015-12-02
060216741,2016-02-28
060216742,2016-01-03
061316451,2016-01-26
061316452,2016-01-23
061316561,2016-02-21
061316562,2016-01-18
061316671,2016-02-14
061316672,2016-01-09
061316673,2015-12-08
061316674,2015-12-27
061316741,2016-03-25
061316742,2016-02-18
061316743,2015-12-22
06241510101,2015-01-29
06241510102,2015-01-31
06241510103,2015-02-10
06241510104,2015-03-03
06241510105,2015-02-05
06241510106,2015-01-06
06241510107,2014-11-23
06241510108,2014-10-19
06241510109,2015-02-12
062415553,2014-12-20
062415555,2014-05-29
062415557,2014-10-08
062415558,2014-12-02
062415559,2015-02-10
062415661,2015-02-05
062415663,2014-10-19
062415664,2014-11-12
062415665,2014-11-12
062415669,2014-09-05
062415881,2015-03-03
0624158811,2014-11-12
0624158812,2014-09-05
0624158814,2015-01-06
062415882,2015-02-14
062415888,2014-12-12
062415889,2014-09-05
0624159911,2014-10-06
0624159912,2014-10-19
062415995,2014-12-02
062415996,2015-01-19
062415997,2014-08-16
062415999,2014-10-19
063016291,2016-03-25
063016381,2016-03-10
063016382,2016-03-07
063016471,2016-03-20
063016472,2016-03-04
063016473,2016-03-10
063016474,2016-01-21
063016475,2016-01-03
063016476,2016-01-14
063016561,2016-03-25
063016651,2015-12-24
063016652,2015-12-05
063016653,2015-12-05
063016654,2015-12-02
070715381,2015-03-24
070715382,2014-07-24
070715383,2014-12-20
070715461,2015-03-19
070715462,2015-03-12
070715571,2015-05-15
070715572,2015-01-06
070715651,2015-03-28
070715652,2015-03-14
070715653,2015-03-03
070715654,2014-05-02
070715655,2014-12-12
070715831,2015-03-24
070715921,2015-02-05
071116381,2016-03-28
071116382,2016-02-08
071116471,2016-03-30
071116472,2016-04-10
071116473,2016-03-25
071116474,2016-03-11
071116475,2016-02-21
071116561,2016-01-29
071116741,2016-04-12
071116742,2016-01-23
071116831,2016-03-23
072115191,2015-03-09
072115194,2015-03-09
072115383,2015-03-21
072115561,2014-12-12
072616291,2016-02-14
072616381,2016-03-28
072616471,2016-04-06
072616472,2016-01-04
072616561,2016-02-23
072616741,2016-04-12